Training 1x1_20_at0.01 for 20 epochs
epoch 0, average loss 0.17320428259545464
epoch 1, average loss 0.17152229685476533
epoch 2, average loss 0.17104296734909996
epoch 3, average loss 0.1709399891672753
epoch 4, average loss 0.1709218823266707
epoch 5, average loss 0.1709192945563001
epoch 6, average loss 0.1709191275923084
epoch 7, average loss 0.17091922646312355
epoch 8, average loss 0.1709192991256714
epoch 9, average loss 0.17091933775654405
epoch 10, average loss 0.17091935613842082
epoch 11, average loss 0.17091936463590046
epoch 12, average loss 0.17091936822697293
epoch 13, average loss 0.170919370094092
epoch 14, average loss 0.17091937111414748
epoch 15, average loss 0.17091937199103727
epoch 16, average loss 0.17091937195822848
epoch 17, average loss 0.1709193717703235
epoch 18, average loss 0.17091937153767928
epoch 19, average loss 0.1709193715854012
Saving model to outputs/src/ae/autoencoder/ae01_test1x1_20_at0.01.pth
Training 1x2_20_at0.01 for 20 epochs
epoch 0, average loss 0.16912155619578614
epoch 1, average loss 0.15985398245356483
epoch 2, average loss 0.14694245658021532
epoch 3, average loss 0.1330034584880734
epoch 4, average loss 0.12297407661179145
epoch 5, average loss 0.11551726023383957
epoch 6, average loss 0.10882269420487295
epoch 7, average loss 0.10285247088946085
epoch 8, average loss 0.09790578397293631
epoch 9, average loss 0.09383337476773201
epoch 10, average loss 0.09048384107094559
epoch 11, average loss 0.08770299852759338
epoch 12, average loss 0.08534967142930501
epoch 13, average loss 0.08330112097828125
epoch 14, average loss 0.08148366410890706
epoch 15, average loss 0.07985191423448923
epoch 16, average loss 0.07838423359390494
epoch 17, average loss 0.07706969331732218
epoch 18, average loss 0.07589930622093528
epoch 19, average loss 0.07486271389049468
Saving model to outputs/src/ae/autoencoder/ae01_test1x2_20_at0.01.pth
Training 1x4_20_at0.01 for 20 epochs
epoch 0, average loss 0.1709688099845349
epoch 1, average loss 0.15222803692671183
epoch 2, average loss 0.1085417761927466
epoch 3, average loss 0.0760343536097792
epoch 4, average loss 0.05785380348822682
epoch 5, average loss 0.04212847800464559
epoch 6, average loss 0.0292308770173831
epoch 7, average loss 0.0211382312981637
